Movie Title,production_budget_usd,worldwide_gross_usd
Diary of a Wimpy Kid: The Long Haul,22000000,35409686
Basic Instinct 2,70000000,35417162
Alex Cross,35000000,35426759
Selena,20000000,35450113
Crank 2: High Voltage,20000000,35472739
Steve Jobs,30000000,35579007
Tyler Perry's Good Deeds,14000000,35579177
The Indian in the Cupboard,45000000,35627222
Father's Day,85000000,35681080
Faster,24000000,35792945
My Dog Skip,7000000,35795319
Arbitrage,12000000,35830713
The Black Hole,20000000,35841901
Taps,14000000,35856053
Wu ji,30000000,35869934
Miss Potter,30000000,35891257
What a Girl Wants,25000000,35990505
The Greatest Show on Earth,4000000,36000000
The Robe,5000000,36000000
Pete’s Dragon,10000000,36000000
Garden State,2500000,36028802
Assault On Precinct 13,30000000,36040895
Set It Off,9000000,36049108
The Eagle,25000000,36054706
A Most Wanted Man,15000000,36068890
Love Happens,18000000,36133014
Silent Movie,4400000,36145695
Devil's Due,7000000,36146087
One for the Money,42000000,36197221
Mad Max Beyond Thunderdome,10000000,36230219
Rumble in the Bronx,7500000,36238752
Room,13000000,36262783
A Very Harold & Kumar 3D Christmas,20000000,36265745
The Kids Are All Right,4000000,36275469
Alive,32000000,36299670
Haywire,23000000,36374700
The Glimmer Man,45000000,36404841
Hotel Rwanda,17500000,36521223
Sicko,9000000,36535837
Shine,5500000,36665191
The Adventures of Pinocchio,25000000,36682170
Friday the 13th Part 3,2250000,36690067
Disaster Movie,20000000,36720752
Eight Legged Freaks,30000000,36722311
"Sex, Lies, and Videotape",1200000,36741667
Titan A.E.,75000000,36751979
Barfi,4600000,36751984
Amour,9700000,36787044
Kiss of the Dragon,25000000,36833473
My Favorite Martian,60000000,36850101
Zack and Miri Make a Porno,24000000,36856306
The Bachelor,21000000,36882378
The Fog,18000000,37048526
Jersey Girl,35000000,37066129
Psycho,20000000,37226218
The Majestic,72000000,37306334
Gomorra,6200000,37339594
Time Bandits,12000000,37400000
Oliver!,10000000,37402877
The Hills Have Eyes II,15000000,37466538
The Boat That Rocked,50000000,37472651
Blair Witch,10000000,37493221
Bill & Ted's Bogus Journey,20000000,37537675
Hell or High Water,12000000,37584304
Tom Jones,1000000,37600000
Halloween: Resurrection,15000000,37659652
How Stella Got Her Groove Back,20000000,37672944
Showgirls,40000000,37750754
The Black Stallion,2700000,37799643
Emma,5900000,37831658
Happily N'Ever After,47000000,37923818
Sgt. Bilko,39000000,37956589
For Colored Girls,21000000,38017873
Beastly,17000000,38028230
The Banger Sisters,10000000,38067218
Ri¢hie Ri¢h,40000000,38087756
Carnage,25000000,38112154
Spaceballs,22700000,38119483
The Running Man,30000000,38122000
Jumping the Broom,7000000,38158601
Just My Luck,28000000,38159905
The Covenant,20000000,38164784
Quest for Camelot,40000000,38172500
The Original Kings of Comedy,3000000,38236338
Annie Hall,4000000,38251425
The Missing,65000000,38253433
Head of State,35200000,38283765
After the Sunset,57000000,38329114
Beauty Shop,25000000,38351350
Employee of the Month,10000000,38364855
The Soloist,60000000,38389024
What's the Worst That Could Happen?,30000000,38462071
Halloween 2,15000000,38512850
The Ghost and the Darkness,55000000,38564422
Urban Legends: Final Cut,15000000,38574362
Koltchak,20000000,38585047
On Deadly Ground,50000000,38590458
Someone Like You,23000000,38684906
The Gambler,25000000,38718031
Little Shop of Horrors,30000000,38747385
The Sitter,25000000,38749404
Criminal,31500000,38771262
Clockstoppers,26000000,38788828
The Warlords,40000000,38899792
3 Days to Kill,28000000,38959900
Ex Machina,13000000,38976797
Agora,70000000,38992292
The Spirit,60000000,39006188
Yentl,12000000,39012241
Primary Colors,65000000,39017984
What's Love Got to Do With It,15000000,39100956
Don't Be Afraid of the Dark,25000000,39126427
Winged Migration,28000000,39134983
Million Dollar Arm,25000000,39217912
Brooklyn's Finest,17000000,39233233
The Legend of Bagger Vance,60000000,39235486
Killing Them Softly,15000000,39238443
National Lampoon's Van Wilder,6000000,39241323
Anna and the King,75000000,39251128
Never Back Down,21000000,39319801
Furry Vengeance,35000000,39340177
Hocus Pocus,28000000,39360491
Whale Rider,4300000,39374600
Becoming Jane,16500000,39380876
Crocodile Dundee in Los Angeles,25000000,39393111
Dreamer: Inspired by a True Story,32000000,39498360
Sin City: A Dame to Kill For,65000000,39499349
Mars Needs Moms,150000000,39549758
Mar adentro,13300000,39686345
Monte Carlo,20000000,39686769
Memento,5000000,39723096
Cirque du Freak: The Vampire's Assistant,40000000,39753957
The Beach,50000000,39778599
Caddyshack,6000000,39846344
The Secret Life of Bees,11000000,39984023
Thank You For Smoking,7500000,40016662
I Still Know What You Did Last Summer,24000000,40020622
The Forest,10000000,40055439
Scoop,4000000,40103262
Twisted,50000000,40119848
The Love Guru,62000000,40123346
All About Steve,15000000,40127259
The Invasion,80000000,40147042
The Piano,7000000,40157856
The Faculty,15000000,40283321
Fist Fight,25000000,40287017
La mala educación,5000000,40311842
Serenity,39000000,40319440
The Master of Disguise,16000000,40363530
Bless the Child,40000000,40435694
The Witch,3500000,40454520
Bill & Ted's Excellent Adventure,10000000,40485039
Fright Night,30000000,40520649
El secreto de sus ojos,3500000,40527719
War,25000000,40686409
Undercover Brother,25000000,40796145
Where the Heart Is,15000000,40862054
30 Minutes or Less,28000000,40966716
Happy Gilmore,10000000,41004412
Rough Night,20000000,41015970
Drive Angry,50000000,41042583
The Best of Me,26000000,41059418
Money Talks,25000000,41076865
Ricki and the Flash,18000000,41148679
The French Connection,2200000,41158757
The Mirror Has Two Faces,42000000,41267469
Don Jon,5500000,41268579
The Guilt Trip,40000000,41294674
This is Where I Leave You,20000000,41296320
Gosford Park,18000000,41300105
50/50,8000000,41334735
Man of the Year,20000000,41342180
Leatherheads,58000000,41348628
Peggy Sue Got Married,18000000,41382841
Pale Rider,6900000,41410568
Gridiron Gang,30000000,41457834
Dredd,45000000,41467606
Gremlins 2: The New Batch,50000000,41476097
Safe,33000000,41495213
The Sisterhood of the Traveling Pants,25000000,41560117
Astro Boy,65000000,41636243
Dream House,50000000,41642166
Wimbledon,35000000,41666476
Still Alice,5000000,41699612
Casino Royale,12000000,41744718
The Gallows,100000,41753881
The Informant!,22000000,41771168
The Fisher King,24000000,41798224
"As Above, So Below",5000000,41824066
The Return of the Pink Panther,5000000,41833347
A Lot Like Love,25000000,41921590
Quarantine,12000000,41924774
Meet the Browns,20000000,41975388
Into the Blue,50000000,41982227
Around the World in 80 Days,6000000,42000000
Gamer,50000000,42002029
A Good Year,35000000,42064105
T2: Trainspotting,18000000,42067430
In the Bedroom,1700000,42137871
Almost Christmas,17000000,42141196
Love the Coopers,18000000,42167286
Earth to Echo,13000000,42174545
21 and Over,13000000,42195766
Joheunnom nabbeunnom isanghannom,10000000,42226657
Teenage Mutant Ninja Turtles III,21000000,42273609
My Name is Khan,8470000,42355526
8 femmes,8000000,42376425
Chernobyl Diaries,1000000,42411721
The Four Seasons,6500000,42488161
Basic,50000000,42598498
Legend,25000000,42642077
Shaolin Soccer,10000000,42776032
Glory Road,30000000,42799060
No Escape,5000000,42844516
Escape from Alcatraz,8000000,43000000
Tom yum goong,5700000,43044087
See Spot Run,16000000,43057552
Boogie Nights,15000000,43111725
Girl with a Pearl Earring,12000000,43281552
Orange County,18000000,43308707
Jìyì dàshī,20000000,43326383
Last Holiday,45000000,43343247
Harold & Kumar Escape from Guantanamo Bay,12000000,43353117
Jobs,18000000,43402515
Pride and Glory,30000000,43440721
Soul Food,7500000,43492389
The DUFF,8500000,43528634
Fly Me To the Moon,25000000,43530281
We Are Marshall,65000000,43545364
Going the Distance,32000000,43603990
Welcome Home Roscoe Jenkins,27500000,43607627
Freedom Writers,21000000,43632609
Max,20000000,43658157
West Side Story,6000000,43700000
Hardball,21000000,43728560
Monster's Ball,4000000,43766463
A Man Apart,36000000,43797731
Wall Street,16500000,43848100
Crank,12000000,43924923
The Transporter,21000000,43928932
Dogma,10000000,43948865
Exorcist: The Beginning,78000000,43957541
Semi-Pro,55000000,43980363
The Last Emperor,25000000,43988888
The Boy in the Striped Pajamas,12500000,44083403
House at the End of the Street,6900000,44103982
Oculus,5000000,44115496
Shi Yue Wei Cheng,23000000,44195779
Child's Play,9000000,44196684
The Postman Always Rings Twice,12000000,44200000
Florence Foster Jenkins,29000000,44267641
The Sisterhood of the Traveling Pants 2,27000000,44270131
The Jungle Book,27000000,44342956
Patriots Day,40000000,44383030
The Shining,19000000,44391156
Clash of the Titans,15000000,44400000
Push,38000000,44411527
Recess: School's Out,10000000,44451470
One Missed Call,20000000,44513466
The Gift,10000000,44567606
Meet Joe Black,85000000,44650003
Young Guns,13000000,44726644
Midnight Cowboy,3600000,44785053
Home,500000,44793168
A Nightmare On Elm Street 3: Dream Warriors,5000000,44793222
Lakeview Terrace,20000000,44821299
Scarface,25000000,44942821
Medicine Man,40000000,44948240
Deep Throat,25000,45000000
Notorious,19000000,45005151
Brothers,26000000,45043870
A Monster Calls,43000000,45095823
Eddie the Eagle,23000000,45121177
The Duchess,27000000,45160110
Deuce Bigalow: European Gigolo,22000000,45273464
Léon,16000000,45284974
Good Boy!,17000000,45312217
Keeping the Faith,29000000,45336404
Dancer in the Dark,12500000,45557491
Hot Pursuit,35000000,45680201
Man on a Ledge,42000000,45688337
"McFarland, USA",17000000,45707924
Firefox,21000000,45785720
Black Rain,30000000,45892212
The Rainmaker,40000000,45916769
"Everything, Everything",10000000,45921140
A Walk to Remember,11000000,46060915
For Love of the Game,50000000,46112640
Napoleon Dynamite,400000,46122713
Risen,20000000,46164361
Torque,40000000,46176322
The Big Lebowski,15000000,46189568
Entourage,30000000,46225326
Des Hommes et Des Dieux,5000000,46263525
The Nativity Story,35000000,46309644
Machete,12500000,46370970
The Last House on the Left,15000000,46526243
Bangkok Dangerous,45000000,46598133
The Debt,20000000,46604054
The Wrestler,6000000,46634275
Get Rich or Die Tryin',40000000,46666955
Fortress,12000000,46730578
The Spy Next Door,28000000,46752858
Goodfellas,25000000,46777347
Death at a Funeral,20000000,46790428
Deck the Halls,51000000,46815807
The Place Beyond the Pines,15000000,47011449
The Fantastic Mr. Fox,40000000,47085064
Soul Surfer,18000000,47158652
The Wedding Date,15000000,47175038
The Hunted,55000000,47213095
The Watcher,33000000,47267829
Darkness Falls,7000000,47289758
長江七號 (CJ7),20000000,47300771
Walking Tall,56000000,47313824
Almost Famous,60000000,47371191
Man on the Moon,52000000,47407635
Crazy Heart,8500000,47417251
The World's End,20000000,47508505
Texas Chainsaw 3D,20000000,47666013
Hachiko: A Dog's Story,16000000,47707417
Book of Shadows: Blair Witch 2,15000000,47721314
George A. Romero's Land of the Dead,18975000,47751015
Shutter,8000000,47782426
Arthur,40000000,47787943
Trouble with the Curve,60000000,47818913
High Fidelity,20000000,47881663
Secondhand Lions,30000000,47902566
The Blue Lagoon,4500000,47923795
Ballerina,30000000,48048527
Scott Pilgrim vs. The World,85000000,48056764
Red Dawn,65000000,48164150
G.I. Jane,50000000,48169156
Malcolm X,35000000,48169910
The Finest Hours,70000000,48197252
The Last Stand,30000000,48330757
The Big Wedding,32500000,48425971
Magnolia,37000000,48446802
Charlie St. Cloud,44000000,48478084
Les petits mouchoirs,25000000,48530887
Her,23000000,48531242
Parker,35000000,48543388
9,30000000,48559999
Fat Albert,45000000,48563556
The Omen,2800000,48570885
The Avengers,60000000,48585416
She's Out of My League,20000000,48680977
Alpha and Omega 3D,20000000,48958353
Death at a Funeral,21000000,48977233
Danny the Dog,43000000,49037621
The Negotiator,50000000,49105766
The Last King of Scotland,6000000,49155371
Operation Chromite,12700000,49196532
The Black Dahlia,60000000,49238525
A Nightmare on Elm Street 4: The Dream Master,13000000,49369899
Dark Water,60000000,49473093
The Fourth Kind,10000000,49486874
The Ant Bully,45000000,49610898
How Do You Know?,120000000,49628177
Drillbit Taylor,40000000,49686263
Sky Captain and the World of Tomorrow,70000000,49730854
This Christmas,13000000,49733545
Major League,11000000,49793054
Leaving Las Vegas,4000000,49800000
Popeye,20000000,49823037
Legal Eagles,40000000,49851591
The Switch,19000000,49858465
The Hurt Locker,15000000,49894223
Capote,7000000,49924079
Raising Helen,50000000,49928680
The Deer Hunter,15000000,50000000
Reds,33500000,50000000
Little Women,15000000,50003303
The Replacements,50000000,50054511
Absolute Power,50000000,50068310
Fever Pitch,40000000,50071069
The Longest Day,10000000,50100000
The Women,16000000,50103808
Winnie the Pooh,30000000,50145607
Breakdown,36000000,50159144
Sphere,73000000,50168294
Grindhouse,53000000,50187789
K-PAX,48000000,50315140
Nightcrawler,8500000,50334418
Concussion,35000000,50363790
Red Tails,58000000,50365498
Hollywood Homicide,75000000,50409753
About Last Night,13000000,50445860
Diary of a Mad Black Woman,5500000,50458356
The Texas Chainsaw Massacre: The Beginning,16000000,50517763
Notes on a Scandal,27500000,50578411
Mighty Joe Young,80000000,50632037
Meet Dave,60000000,50648806
Bride of Chucky,25000000,50692188
Elizabethtown,54000000,50719373
August: Osage County,25000000,50738810
The Mighty Ducks,10000000,50752337
A Bridge Too Far,26000000,50800000
You Got Served,8000000,50811858
Coco avant Chanel,23000000,50813834
Yeh Jawaani Hai Deewani,8300000,50827466
Team America: World Police,20000000,50948811
Enough,38000000,50970660
Naked Gun 33 1/3: The Final Insult,30000000,51041856
The Family,30000000,51078541
Fargo,7000000,51204567
Mortal Kombat: Annihilation,30000000,51327406
Daybreakers,20000000,51445503
Blue Crush,30000000,51618420
Homefront,22000000,51695362
Maximum Risk,25000000,51702929
I Can Do Bad All By Myself,19000000,51733921
Hanging Up,40000000,51867723
Amadeus,18000000,51973029
"South Park: Bigger, Longer & Uncut",21000000,52037603
Nowhere to Run,15000000,52189039
One Hour Photo,12000000,52223306
Stand by Me,8000000,52287414
The Color of Money,10000000,52293000
Ordinary People,6000000,52302978
Le Petit Nicolas,30000000,52339566
The Night Before,25000000,52427346
Big Fat Liar,15000000,52461017
Wild,15000000,52501541
Tyler Perry's A Madea Christmas,25000000,52543354
The Roommate,16000000,52545707
Valerian and the City of a Thousand Planets,180000000,52573132
Untraceable,35000000,52649951
An Inconvenient Truth,1000000,52769915
The Boy Next Door,4000000,52819253
Message in a Bottle,30000000,52880016
My Cousin Vinny,11000000,52929168
Defiance,50000000,52987754
Konferenz der Tiere,30000000,53048539
That Awkward Moment,8000000,53068955
From Paris With Love,52000000,53139168
Pitch Black,23000000,53182088
Doubt,20000000,53191101
Arachnophobia,31000000,53208180
Radio,35000000,53293628
Madea's Big Happy Family,25000000,53345287
RoboCop,13000000,53424681
Bounce,35000000,53425292
Nine,80000000,53508858
Stranger Than Fiction,30000000,53572822
The Messengers,16000000,53774833
The International,50000000,53850527
Mickey Blue Eyes,40000000,53864342
Aeon Flux,55000000,53913573
Edward Scissorhands,20000000,53976987
The Verdict,16000000,53977250
The Borrowers,29000000,54045832
The Three Stooges,30000000,54052249
Sinister 2,10000000,54104225
Domestic Disturbance,53000000,54207112
La Bamba,6500000,54215416
The Abyss,70000000,54243125
Varsity Blues,16000000,54294169
No Good Deed,13200000,54323210
Spanglish,75000000,54344321
Lawless,26000000,54393637
Barbershop: The Next Cut,20000000,54404202
The Punisher,33000000,54533774
Looney Tunes: Back in Action,80000000,54540662
Doom,70000000,54612337
Driven,72000000,54616869
Predator 2,35000000,54768418
St. Vincent,13000000,54837234
All Eyez on Me,45000000,54855235
Analyze That,60000000,54994757
Dawn of the Dead,1500000,55000000
Halloween: H2O,17000000,55041738
The Giver,25000000,55090374
Waking Ned Devine,3000000,55193251
Extremely Loud and Incredibly Close,40000000,55247881
The Odd Life of Timothy Green,40000000,55249159
She's the Man,25000000,55279608
We Own the Night,28000000,55307857
Zoolander 2,50000000,55348693
Rugrats Go Wild,25000000,55443032
Out of Time,50000000,55489826
Lucky Number Slevin,27000000,55495466
Open Water,500000,55518641
The Lizzie McGuire Movie,15000000,55534455
Wild Things,20000000,55576699
"Definitely, Maybe",7000000,55617866
The Craft,15000000,55669466
Pooh's Heffalump Movie,20000000,55686944
Pay it Forward,40000000,55696705
The Animal,22000000,55762229
Moonlight,1500000,55800987
Kicking and Screaming,45000000,55842724
Cop Out,37000000,55909910
Why Did I Get Married?,15000000,55934178
Silent Hill: Revelation 3D,20000000,55975672
Spice World,25000000,56042592
Eastern Promises,50000000,56077088
Frida,12000000,56131239
Quartet,11000000,56178935
Boyz n the Hood,6500000,56200634
15 Minutes,42000000,56331864
Drumline,20000000,56398162
Elektra,65000000,56409722
Cradle 2 the Grave,25000000,56434942
The Mothman Prophecies,42000000,56438555
The Crazies,19000000,56445534
Tombstone,25000000,56505065
Remember Me,16000000,56506120
"Good Night, and Good Luck",7000000,56586901
Clueless,13700000,56598476
Murder by Numbers,50000000,56643267
A Civil Action,60000000,56709981
Woman in Gold,11000000,56758138
Into the Wild,20000000,56822960
The Man in the Iron Mask,35000000,56968169
Crossroads,12000000,57000000
The Descent,7000000,57051053
The Mist,13000000,57189408
Prom Night,18000000,57193655
The Blues Brothers,27000000,57229890
The Nice Guys,50000000,57261763
Smokin' Aces,17000000,57263440
Boyhood,4000000,57273049
Milk,20000000,57293371
The Godfather: Part II,13000000,57300000
The Specialist,45000000,57362581
Chariots of Fire,5500000,57467731
Pet Sematary,11500000,57469179
Under the Tuscan Sun,18000000,57490024
Derailed,22000000,57520063
The Eye,12000000,57577765
End of Watch,15000000,57586606
Year One,60000000,57604723
Heartbreakers,38000000,57753825
Dolphin Tale 2,36000000,57824533
Snatched,42000000,57850343
Snitch,15000000,57907734
Yi dai zong shi,38600000,57987299
My Girl,16500000,58011485
That's My Boy,57500000,58085235
Dragonball Evolution,30000000,58228460
Agent Cody Banks,25000000,58240458
Bowling for Columbine,3000000,58240487
Amistad,40000000,58250151
Little Nicky,80000000,58270391
The Ninth Gate,38000000,58394308
Must Love Dogs,35000000,58405313
Invincible,40000000,58501127
Zathura,65000000,58545540
Sea of Love,19000000,58571513
Jack,45000000,58617334
The Master,37500000,58792011
Chāi dàn zhuānjiā,23000000,58807172
Sliding Doors,6000000,58809149
Behind Enemy Lines,40000000,58855732
Jeepers Creepers,10000000,58939035
The Legend of Hercules,70000000,58953319
The Gift,5000000,58978653
One Day,15000000,59168692
Good Luck Chuck,25000000,59183821
The Flintstones in Viva Rock Vegas,58000000,59431365
Scrooged,32000000,59450353
Aliens in the Attic,45000000,59551283
Dr. No,1000000,59567035
21 Grams,20000000,59667625
Next Friday,9500000,59675307
Friday the 13th,550000,59754601
Morning Glory,40000000,59795070
Son of the Mask,100000000,59918422
A Haunted House,2500000,59922558
Superman III,39000000,59950623
Spartacus,12000000,60000000
It's a Mad Mad Mad Mad World,9400000,60000000
Chain Reaction,55000000,60209334
127 Hours,18000000,60217171
The Perfect Guy,18000000,60264805
The Insider,68000000,60265197
I Spy,70000000,60279822
Beautiful Creatures,50000000,60282876
Secretariat,35000000,60376247
Ten Things I Hate About You,13000000,60414025
Lord of War,42000000,60437727
Fantasia 2000 (IMAX),80000000,60507228
Runner Runner,30000000,60512680
Kiss the Girls,27000000,60527873
Dallas Buyers Club,5000000,60611845
Astérix et Obélix: Au service de Sa Majesté ,77600000,60680125
The Wild Thornberrys Movie,25000000,60694737
My Super Ex-Girlfriend,30000000,60772856
Zoolander,28000000,60780981
Why Did I Get Married Too?,20000000,60831067
Marie Antoinette,40000000,60862471
Taxi 4,17500000,60865364
Rock of Ages,70000000,61031932
The Walk,35000000,61173364
Flatliners,26000000,61308153
National Lampoon’s Vacation,15000000,61400000
Larry Crowne,30000000,61449135
Cellular,45000000,61475984
A History of Violence,32000000,61477797
The Five-Year Engagement,30000000,61623819
Nerve,20000000,61680792
Monster Trucks,125000000,61681268
The 13th Warrior,125000000,61698899
The Tree of Life,35000000,61721826
Krampus,15000000,61788393
Mouse Hunt,38000000,61894591
Friday Night Lights,30000000,61950770
Snakes on a Plane,33000000,62020814
28 Days,43000000,62063972
Brooklyn,11000000,62076141
Captain Corelli's Mandolin,57000000,62097495
A Walk Among the Tombstones,28000000,62108587
Two Brothers,72000000,62176754
Ninja Assassin,50000000,62209892
The Reaping,40000000,62226214
Not Another Teen Movie,15000000,62401343
Like Mike,30000000,62432423
Snow Day,13000000,62452927
Patton,12000000,62500000
The Crying Game,4000000,62546695
Unfriended,1000000,62561449
Splash,8000000,62599495
Honey,18000000,62646763
Proof of Life,65000000,62761005
The Darkest Hour,34800000,62831715
The Peacemaker,50000000,62967368
Footloose,24000000,62989834
The Sweetest Thing,43000000,63078756
Beavis and Butt-head Do America,12000000,63118386
Kick-Ass 2,28000000,63129909
Random Hearts,64000000,63200000
Lions for Lambs,35000000,63211088
Madea's Family Reunion,10000000,63320521
Devil,10000000,63354114
Conan the Barbarian,90000000,63356133
Tango & Cash,55000000,63408614
She's All That,10000000,63465522
In Good Company,26000000,63489752
Stuck On You,55000000,63537164
Flags of Our Fathers,53000000,63657941
Cop Land,15000000,63706632
God’s Not Dead,1150000,63777092
High Crimes,42000000,63781100
The Longest Ride,34000000,63802928
The Remains of the Day,15000000,63954968
Baby Mama,30000000,64170447
"Hail, Caesar!",22000000,64171419
Valiant,35000000,64188387
28 Weeks Later,15000000,64232714
Monster,5000000,64240813
Wag the Dog,15000000,64252038
The Imaginarium of Doctor Parnassus,30000000,64352607
Miracle,28000000,64474705
The Host,50000000,64477051
Nothing To Lose,25000000,64594061
Haeundae,16000000,64733391
The Benchwarmers,35000000,65063726
Something Borrowed,35000000,65084116
House on Haunted Hill,19000000,65090541
Without a Paddle,30000000,65121280
Se jie,15000000,65261291
Jersey Boys,40000000,65282732
Donnie Brasco,35000000,65303052
Hanna,30000000,65343694
Take the Lead,30000000,65390493
Killer Elite,70000000,65409046
Street Kings,20000000,65454793
The Ghost Writer,45000000,65532491
Witness,12000000,65532576
16 Blocks,45000000,65595141
The Road to El Dorado,95000000,65700000
Ever After: A Cinderella Story,26000000,65705772
K-19: The Widowmaker,90000000,65716126
Sweet November,40000000,65754228
Barbershop 2: Back in Business,18000000,65842412
Hot Tub Time Machine,36000000,65967750
August Rush,25000000,66015869
The Bank Job,20000000,66143005
The Godfather: Part III,54000000,66520529
Thirteen Days,80000000,66554547
Inkheart,60000000,66655938
Side Effects,30000000,66742138
Selma,20000000,66776908
Hero,42000000,66787173
Changing Lanes,45000000,66790248
102 Dalmatians,85000000,66941559
Tyler Perry's Madea's Witness Protection,20000000,66950887
Run All Night,50000000,66961644
Space Chimps,37000000,67029956
The Watch,55000000,67130045
Coal Miner's Daughter,15000000,67182787
Boogeyman,20000000,67192859
When a Stranger Calls,15000000,67215435
The Next Three Days,30000000,67255916
Star Trek: Nemesis,60000000,67312826
The Men Who Stare at Goats,24000000,67348218
Legion,26000000,67647574
Austin Powers: International Man of Mystery,18000000,67683989
Outbreak,50000000,67823573
Letters from Iwo Jima,13000000,67867998
The American,20000000,67950723
Frequency,31000000,68079671
The X-Files: I Want to Believe,35000000,68170792
The Boy,10000000,68220952
Practical Magic,60000000,68336997
Ghost Ship,20000000,68349884
Pokemon 3: The Movie,3000000,68452128
Thirteen Ghosts,19000000,68467960
One Direction: This is Us,10000000,68541786
Moonrise Kingdom,16000000,68582095
Open Range,26000000,68613992
Star Wars: The Clone Wars,8500000,68695443
2001: A Space Odyssey,10500000,68700000
From Hell,35000000,68712365
Precious (Based on the Novel Push by Sapphire),10000000,68722848
Begin Again,8000000,68838736
The Age of Adaline,30000000,69057415
Babe: Pig in the City,80000000,69131860
Bad Company,70000000,69157016
Girls Trip,28000000,69290699
13 Hours: The Secret Soldiers of Benghazi,50000000,69411370
The Adventures of Sharkboy and Lavagirl in 3-D,50000000,69425966
Because I Said So,39000000,69538833
Land of the Lost,100000000,69548641
The Kid,65000000,69688384
The Transporter Refueled,22000000,69698495
The Best Little Whorehouse in Texas,20500000,69701637
Saw VI,11000000,69752402
Un long dimanche de fiançailles,55000000,69759296
Grudge Match,40000000,69807260
The Call,12800000,69821476
Tae Guik Gi: The Brotherhood of War,12500000,69826708
Children of Men,76000000,69845011
Private Benjamin,15000000,69847348
Lawrence of Arabia,15000000,69995385
Halloween,325000,70000000
Born on the Fourth of July,14000000,70001698
Think Like a Man Too,24000000,70027933
House of Wax,35000000,70064800
A Cinderella Story,19000000,70164105
The Last Exorcism,1800000,70165900
License to Wed,35000000,70187088
Star Trek V: The Final Frontier,30000000,70200000
Babylon A.D.,45000000,70216497
Anacondas: The Hunt for the Blood Orchid,25000000,70326393
The Hills Have Eyes,17000000,70355813
Delivery Man,22000000,70536870
The Dilemma,70000000,70546865
Takers,32000000,70587268
Ronin,55000000,70692101
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,6500000,70712099
The Grudge 2,20000000,70743839
The Cabin in the Woods,30000000,70768144
Shallow Hal,40000000,70836296
Groundhog Day,14600000,70906973
Kate and Leopold,48000000,70937778
Son of God,22000000,70949793
Cleopatra,42000000,71000000
Anna Karenina,49000000,71004627
The Counselor,25000000,71009334
Curious George,50000000,71052604
XXX: State of the Union,60000000,71073932
3:10 to Yuma,48000000,71171825
Down to Earth,30000000,71172251
Shanghai Noon,55000000,71189835
Holes,20000000,71232214
The House Bunny,25000000,71390601
The Royal Tenenbaums,28000000,71430876
What Dreams May Come,80000000,71485043
Bandits,75000000,71523271
Trainspotting,3100000,71558971
Sammy's avonturen: De geheime doorgang,25000000,71594792
Rules of Engagement,60000000,71719931
Small Soldiers,40000000,71743823
Funny People,72500000,71880305
Around the World in 80 Days,110000000,72004159
My Fair Lady,17000000,72070955
Colombiana,40000000,72295262
"Yours, Mine and Ours",45000000,72359917
Death Race,65000000,72516819
Urban Legend,14000000,72571864
The One,49000000,72689126
Eternal Sunshine of the Spotless Mind,20000000,72703462
Lady in the Water,75000000,72785169
The Best Man Holiday,17000000,72835710
Ben-Hur,15000000,73000000
Superhero Movie,35000000,73026302
"Dude, Where's My Car?",13000000,73180297
Tyler Perry’s Boo! A Madea Halloween,20000000,73206343
Here Comes the Boom,42000000,73239258
Beetle Juice,15000000,73326666
Brick Mansions,28000000,73421224
Life,75000000,73521587
Diary of a Wimpy Kid: Rodrick Rules,18000000,73695194
Miracles from Heaven,13000000,73798720
The Divine Secrets of the Ya-Ya Sisterhood,27000000,73826768
The Hurricane,38000000,73956241
Obsessed,20000000,73964713
War Room,3000000,73975239
La famille Bélier,11000000,74056184
The Core,85000000,74132631
Escape From Planet Earth,40000000,74156610
The Kite Runner,20000000,74180745
To Rome with Love,21500000,74326015
WarGames,12000000,74433837
Kubo and the Two Strings,55000000,74545591
Bend it Like Beckham,5600000,74566042
"I, Frankenstein",65000000,74575290
Jackie Brown,12000000,74727492
The Prince of Tides,30000000,74787599
Elizabeth: The Golden Age,55000000,74870866
The Back-up Plan,35000000,75281179
The Count of Monte Cristo,40000000,75389090
Crimson Peak,55000000,75466595
The Last of the Mohicans,40000000,75505856
Stomp the Yard,14000000,75525718
Dreamcatcher,68000000,75685268
Manchester by the Sea,8500000,75740479
"O Brother, Where Art Thou?",26000000,75763814
Cruel Intentions,11000000,75803716
The Change-Up,52000000,75835124
Tin Cup,45000000,75854588
Mike and Dave Need Wedding Dates,33000000,75909673
The Mortal Instruments: City of Bones,60000000,75965567
The Book Thief,19000000,76086711
The Judge,50000000,76119388
Easy A,8000000,76200721
John Wick,30000000,76235001
The Untouchables,25000000,76270454
The Mechanic,42500000,76347393
Stealth,138000000,76416746
Home on the Range,110000000,76482461
The Muppet Movie,8000000,76657000
Coach Carter,45000000,76665507
Man cheng jin dai huang jin jia,45000000,76904429
Diary of a Wimpy Kid,15000000,76954311
Barbershop,12000000,77063461
Bad Santa,18000000,77147031
There Will Be Blood,25000000,77208711
Mirrors,35000000,77220596
Money Train,68000000,77224232
Diary of a Wimpy Kid: Dog Days,22000000,77229695
The Ladykillers,35000000,77392139
Serendipity,28000000,77477297
Halloween,15000000,77514401
Out of Sight,48000000,77562568
The Number 23,32000000,77593167
